weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,ECDC-norrsken_blue,inc case,3,IS,Iceland,1.88,0.3,0.26,0.62,1,0.48,16,1
52,ECDC-norrsken_green,inc case,3,IS,Iceland,1.22,0.18,0.16,0.38,0.75,0.58,16,1
52,EuroCOVIDhub-baseline,inc case,3,IS,Iceland,1,1,1,1,1,0.02,24,1
52,EuroCOVIDhub-ensemble,inc case,3,IS,Iceland,0.98,0.2,0.24,0.79,0.89,0.25,19,1
52,epiforecasts-tsensemble,inc case,3,IS,Iceland,0.95,0.12,0.12,0.58,0.84,0.01,19,1
52,ECDC-norrsken_blue,inc case,4,IS,Iceland,2,0.29,0.26,0.5,1,0.45,16,1
52,ECDC-norrsken_green,inc case,4,IS,Iceland,1.2,0.18,0.16,0.25,0.75,0.48,16,1
52,EuroCOVIDhub-baseline,inc case,4,IS,Iceland,1,1,1,1,1,0.03,24,1
52,EuroCOVIDhub-ensemble,inc case,4,IS,Iceland,1.06,0.2,0.24,0.68,0.89,0.22,19,1
52,epiforecasts-tsensemble,inc case,4,IS,Iceland,0.97,0.11,0.11,0.42,0.79,-0.03,19,1
52,ECDC-norrsken_blue,inc case,1,LI,Liechtenstein,0.99,0.31,0.27,0.75,1,0.31,16,1
52,ECDC-norrsken_green,inc case,1,LI,Liechtenstein,0.55,0.16,0.13,0.62,0.81,0.31,16,1
52,EuroCOVIDhub-baseline,inc case,1,LI,Liechtenstein,1,1,1,0.92,1,-0.07,24,1
52,EuroCOVIDhub-ensemble,inc case,1,LI,Liechtenstein,0.46,0.16,0.15,0.88,1,0.15,16,1
52,Lydia-SARIMA,inc case,1,LI,Liechtenstein,1.33,2.43,2.13,1,1,0.02,23,1
52,epiforecasts-tsensemble,inc case,1,LI,Liechtenstein,0.65,0.08,0.14,1,1,0.07,11,1
52,ECDC-norrsken_blue,inc case,2,LI,Liechtenstein,1.26,0.31,0.28,0.75,1,0.42,16,1
52,ECDC-norrsken_green,inc case,2,LI,Liechtenstein,0.89,0.2,0.18,0.56,0.94,0.41,16,1
52,EuroCOVIDhub-baseline,inc case,2,LI,Liechtenstein,1,1,1,1,1,-0.02,24,1
52,EuroCOVIDhub-ensemble,inc case,2,LI,Liechtenstein,0.59,0.22,0.2,0.88,1,0.16,16,1
52,Lydia-SARIMA,inc case,2,LI,Liechtenstein,1.27,2.25,2.12,1,1,0.02,23,1
52,epiforecasts-tsensemble,inc case,2,LI,Liechtenstein,0.77,0.08,0.11,0.91,1,0.05,11,1
52,ECDC-norrsken_blue,inc case,3,LI,Liechtenstein,1.85,0.36,0.34,0.62,1,0.53,16,1
52,ECDC-norrsken_green,inc case,3,LI,Liechtenstein,1.64,0.35,0.31,0.62,0.88,0.44,16,1
52,EuroCOVIDhub-baseline,inc case,3,LI,Liechtenstein,1,1,1,1,1,0,24,1
52,EuroCOVIDhub-ensemble,inc case,3,LI,Liechtenstein,0.71,0.28,0.27,0.94,1,0.17,16,1
52,Lydia-SARIMA,inc case,3,LI,Liechtenstein,1.54,1.98,1.93,1,1,0.02,23,1
52,epiforecasts-tsensemble,inc case,3,LI,Liechtenstein,0.58,0.06,0.07,1,1,0.06,11,1
52,ECDC-norrsken_blue,inc case,4,LI,Liechtenstein,3.27,0.4,0.38,0.25,1,0.62,16,1
52,ECDC-norrsken_green,inc case,4,LI,Liechtenstein,3.99,0.75,0.66,0.38,0.88,0.54,16,1
52,EuroCOVIDhub-baseline,inc case,4,LI,Liechtenstein,1,1,1,1,1,0,24,1
52,EuroCOVIDhub-ensemble,inc case,4,LI,Liechtenstein,1.12,0.32,0.3,0.94,1,0.16,16,1
52,epiforecasts-tsensemble,inc case,4,LI,Liechtenstein,0.63,0.03,0.04,1,1,0.02,11,1
52,ECDC-norrsken_blue,inc case,1,LT,Lithuania,1.33,1,1.12,0.62,1,0.32,13,1
52,ECDC-norrsken_green,inc case,1,LT,Lithuania,1.38,1.04,1.16,0.31,0.85,0.25,13,1
52,EuroCOVIDhub-baseline,inc case,1,LT,Lithuania,1,1,1,0.52,1,0.17,21,1
52,EuroCOVIDhub-ensemble,inc case,1,LT,Lithuania,0.92,0.77,0.82,0.69,1,0.17,16,1
52,Lydia-SARIMA,inc case,1,LT,Lithuania,6.59,7.8,4.91,1,1,0.17,21,1
52,epiforecasts-tsensemble,inc case,1,LT,Lithuania,1.16,0.87,1.03,0.62,0.75,0.01,16,1
52,ECDC-norrsken_blue,inc case,2,LT,Lithuania,1.12,0.66,0.66,0.85,1,0.31,13,1
52,ECDC-norrsken_green,inc case,2,LT,Lithuania,1.21,0.69,0.69,0.23,0.92,0.24,13,1
52,EuroCOVIDhub-baseline,inc case,2,LT,Lithuania,1,1,1,0.81,1,0.16,21,1
52,EuroCOVIDhub-ensemble,inc case,2,LT,Lithuania,0.86,0.57,0.66,0.81,1,0.15,16,1
52,Lydia-SARIMA,inc case,2,LT,Lithuania,6.79,5.58,4.09,1,1,0.18,21,1
52,epiforecasts-tsensemble,inc case,2,LT,Lithuania,1.03,0.57,0.67,0.67,0.8,0.02,15,1
52,ECDC-norrsken_blue,inc case,3,LT,Lithuania,1,0.56,0.52,0.77,1,0.32,13,1
52,ECDC-norrsken_green,inc case,3,LT,Lithuania,1.11,0.6,0.56,0.38,0.92,0.21,13,1
52,EuroCOVIDhub-baseline,inc case,3,LT,Lithuania,1,1,1,0.76,1,0.15,21,1
52,EuroCOVIDhub-ensemble,inc case,3,LT,Lithuania,0.9,0.54,0.64,0.71,1,0.16,17,1
52,Lydia-SARIMA,inc case,3,LT,Lithuania,5.96,4.27,3.43,1,1,0.2,21,1
52,epiforecasts-tsensemble,inc case,3,LT,Lithuania,1.05,0.55,0.67,0.5,0.81,0.06,16,1
52,ECDC-norrsken_blue,inc case,4,LT,Lithuania,1.41,0.7,0.59,0.71,1,0.37,14,1
52,ECDC-norrsken_green,inc case,4,LT,Lithuania,0.91,0.62,0.52,0.5,0.93,0.09,14,1
52,EuroCOVIDhub-baseline,inc case,4,LT,Lithuania,1,1,1,0.76,1,0.17,21,1
52,EuroCOVIDhub-ensemble,inc case,4,LT,Lithuania,0.96,0.54,0.62,0.67,1,0.16,18,1
52,epiforecasts-tsensemble,inc case,4,LT,Lithuania,1.04,0.51,0.62,0.41,0.82,0.03,17,1
52,ECDC-norrsken_blue,inc death,1,LT,Lithuania,2.9,2,2.15,0.23,0.92,0.72,13,1
52,ECDC-norrsken_green,inc death,1,LT,Lithuania,2.25,1.67,1.8,0.23,0.46,0.79,13,1
52,EuroCOVIDhub-baseline,inc death,1,LT,Lithuania,1,1,1,0.86,1,0.05,21,1
52,EuroCOVIDhub-ensemble,inc death,1,LT,Lithuania,1.14,0.87,0.89,0.75,1,0.31,16,1
52,Lydia-SARIMA,inc death,1,LT,Lithuania,0.92,2.69,2.36,1,1,0.01,21,1
52,epiforecasts-tsensemble,inc death,1,LT,Lithuania,0.83,0.44,0.43,0.88,1,0.07,16,1
52,ECDC-norrsken_blue,inc death,2,LT,Lithuania,3.07,1.7,1.79,0.15,1,0.73,13,1
52,ECDC-norrsken_green,inc death,2,LT,Lithuania,2.48,1.4,1.47,0.15,0.31,0.86,13,1
52,EuroCOVIDhub-baseline,inc death,2,LT,Lithuania,1,1,1,1,1,0.03,21,1
52,EuroCOVIDhub-ensemble,inc death,2,LT,Lithuania,1.15,0.78,0.78,0.69,1,0.3,16,1
52,Lydia-SARIMA,inc death,2,LT,Lithuania,0.91,2,1.88,1,1,0.01,21,1
52,epiforecasts-tsensemble,inc death,2,LT,Lithuania,0.61,0.37,0.36,0.87,1,0.12,15,1
52,ECDC-norrsken_blue,inc death,3,LT,Lithuania,4.54,1.65,1.65,0.15,1,0.72,13,1
52,ECDC-norrsken_green,inc death,3,LT,Lithuania,4.06,1.57,1.56,0.15,0.54,0.81,13,1
52,EuroCOVIDhub-baseline,inc death,3,LT,Lithuania,1,1,1,1,1,0.03,21,1
52,EuroCOVIDhub-ensemble,inc death,3,LT,Lithuania,1.39,0.84,0.84,0.65,1,0.26,17,1
52,Lydia-SARIMA,inc death,3,LT,Lithuania,1.08,1.78,1.72,1,1,0.02,21,1
52,epiforecasts-tsensemble,inc death,3,LT,Lithuania,0.71,0.29,0.3,0.62,1,-0.02,16,1
52,ECDC-norrsken_blue,inc death,4,LT,Lithuania,5.41,1.72,1.74,0.07,1,0.74,14,1
52,ECDC-norrsken_green,inc death,4,LT,Lithuania,6.84,2.33,2.35,0,0.5,0.89,14,1
52,EuroCOVIDhub-baseline,inc death,4,LT,Lithuania,1,1,1,1,1,0.03,21,1
52,EuroCOVIDhub-ensemble,inc death,4,LT,Lithuania,1.6,0.91,0.9,0.67,1,0.33,18,1
52,epiforecasts-tsensemble,inc death,4,LT,Lithuania,0.75,0.27,0.27,0.76,1,-0.03,17,1
52,ECDC-norrsken_blue,inc case,1,LU,Luxembourg,1.11,0.79,0.79,0.72,1,0.19,18,1
52,ECDC-norrsken_green,inc case,1,LU,Luxembourg,0.75,0.52,0.52,0.39,0.89,0.26,18,1
52,EuroCOVIDhub-baseline,inc case,1,LU,Luxembourg,1,1,1,0.8,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,1,LU,Luxembourg,0.8,0.59,0.6,0.81,1,0.14,21,1
52,Lydia-SARIMA,inc case,1,LU,Luxembourg,1.14,1.91,1.69,1,1,0.03,24,1
52,epiforecasts-tsensemble,inc case,1,LU,Luxembourg,1.01,0.64,0.72,0.65,0.95,0.09,20,1
52,ECDC-norrsken_blue,inc case,2,LU,Luxembourg,1.12,0.72,0.7,0.78,1,0.19,18,1
52,ECDC-norrsken_green,inc case,2,LU,Luxembourg,0.72,0.44,0.43,0.5,0.83,0.26,18,1
52,EuroCOVIDhub-baseline,inc case,2,LU,Luxembourg,1,1,1,0.88,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,2,LU,Luxembourg,0.77,0.53,0.54,0.86,1,0.13,21,1
52,Lydia-SARIMA,inc case,2,LU,Luxembourg,1.22,1.83,1.69,1,1,0.03,24,1
52,epiforecasts-tsensemble,inc case,2,LU,Luxembourg,1.02,0.57,0.65,0.45,0.9,0.03,20,1
52,ECDC-norrsken_blue,inc case,3,LU,Luxembourg,1.19,0.69,0.66,0.78,1,0.23,18,1
52,ECDC-norrsken_green,inc case,3,LU,Luxembourg,0.72,0.39,0.38,0.33,0.83,0.29,18,1
52,EuroCOVIDhub-baseline,inc case,3,LU,Luxembourg,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,3,LU,Luxembourg,0.79,0.49,0.5,0.81,1,0.16,21,1
52,Lydia-SARIMA,inc case,3,LU,Luxembourg,1.28,1.72,1.64,1,1,0.04,24,1
52,epiforecasts-tsensemble,inc case,3,LU,Luxembourg,0.96,0.48,0.54,0.45,0.85,0.02,20,1
52,ECDC-norrsken_blue,inc case,4,LU,Luxembourg,1.29,0.68,0.64,0.83,1,0.28,18,1
52,ECDC-norrsken_green,inc case,4,LU,Luxembourg,0.72,0.36,0.34,0.28,1,0.19,18,1
52,EuroCOVIDhub-baseline,inc case,4,LU,Luxembourg,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,4,LU,Luxembourg,0.86,0.45,0.49,0.81,1,0.14,21,1
52,epiforecasts-tsensemble,inc case,4,LU,Luxembourg,0.98,0.43,0.45,0.5,0.95,-0.1,20,1
52,ECDC-norrsken_blue,inc case,1,MT,Malta,1.66,0.91,0.97,0.28,0.94,0.43,18,1
52,ECDC-norrsken_green,inc case,1,MT,Malta,2.6,1.48,1.54,0.11,0.44,0.54,18,1
52,EuroCOVIDhub-baseline,inc case,1,MT,Malta,1,1,1,0.92,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,1,MT,Malta,1.16,0.7,0.66,0.55,0.91,0.18,22,1
52,epiforecasts-tsensemble,inc case,1,MT,Malta,1.04,0.6,0.58,0.7,0.9,0.07,20,1
52,ECDC-norrsken_blue,inc case,2,MT,Malta,2.04,0.8,0.86,0.33,0.94,0.55,18,1
52,ECDC-norrsken_green,inc case,2,MT,Malta,3.42,1.3,1.35,0.22,0.56,0.6,18,1
52,EuroCOVIDhub-baseline,inc case,2,MT,Malta,1,1,1,1,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,2,MT,Malta,1.24,0.58,0.55,0.45,0.91,0.23,22,1
52,epiforecasts-tsensemble,inc case,2,MT,Malta,1.07,0.41,0.39,0.65,0.9,0.06,20,1
52,ECDC-norrsken_blue,inc case,3,MT,Malta,2.62,0.8,0.85,0.28,0.94,0.62,18,1
52,ECDC-norrsken_green,inc case,3,MT,Malta,4.82,1.4,1.42,0.11,0.67,0.58,18,1
52,EuroCOVIDhub-baseline,inc case,3,MT,Malta,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,3,MT,Malta,1.27,0.51,0.5,0.5,0.95,0.23,22,1
52,epiforecasts-tsensemble,inc case,3,MT,Malta,1.12,0.28,0.27,0.5,0.9,-0.02,20,1
52,ECDC-norrsken_blue,inc case,4,MT,Malta,3.36,0.84,0.86,0.22,0.94,0.68,18,1
52,ECDC-norrsken_green,inc case,4,MT,Malta,7.01,1.79,1.76,0.06,0.72,0.66,18,1
52,EuroCOVIDhub-baseline,inc case,4,MT,Malta,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,4,MT,Malta,1.32,0.5,0.49,0.59,0.95,0.26,22,1
52,epiforecasts-tsensemble,inc case,4,MT,Malta,1.04,0.21,0.21,0.55,0.9,-0.05,20,1
52,EuroCOVIDhub-baseline,inc death,1,MT,Malta,1,1,1,0.84,1,0.07,25,1
52,epiforecasts-tsensemble,inc death,1,MT,Malta,0.84,0.71,0.71,0.8,1,0.09,20,1
52,EuroCOVIDhub-baseline,inc death,2,MT,Malta,1,1,1,0.88,1,0.07,25,1
52,epiforecasts-tsensemble,inc death,2,MT,Malta,0.87,0.88,0.88,0.7,0.95,0.07,20,1
52,EuroCOVIDhub-baseline,inc death,3,MT,Malta,1,1,1,0.88,1,0.06,25,1
52,epiforecasts-tsensemble,inc death,3,MT,Malta,1.04,0.81,0.81,0.85,0.95,0.11,20,1
52,EuroCOVIDhub-baseline,inc death,4,MT,Malta,1,1,1,0.92,1,0.05,25,1
52,epiforecasts-tsensemble,inc death,4,MT,Malta,1.14,0.58,0.58,0.8,1,0.09,20,1
52,ECDC-norrsken_blue,inc case,1,NL,Netherlands,0.34,0.06,0.04,0.65,1,-0.18,17,1
52,ECDC-norrsken_green,inc case,1,NL,Netherlands,0.43,0.04,0.03,0.41,0.88,0.2,17,1
52,EuroCOVIDhub-baseline,inc case,1,NL,Netherlands,1,1,1,1,1,0,25,1
52,EuroCOVIDhub-ensemble,inc case,1,NL,Netherlands,0.37,0.08,0.12,0.9,1,0.02,20,1
52,epiforecasts-tsensemble,inc case,1,NL,Netherlands,0.43,0.04,0.05,0.77,0.85,-0.12,13,1
52,ECDC-norrsken_blue,inc case,2,NL,Netherlands,0.33,0.06,0.05,0.71,1,-0.12,17,1
52,ECDC-norrsken_green,inc case,2,NL,Netherlands,0.52,0.05,0.04,0.29,0.82,0.2,17,1
52,EuroCOVIDhub-baseline,inc case,2,NL,Netherlands,1,1,1,1,1,0.02,25,1
52,EuroCOVIDhub-ensemble,inc case,2,NL,Netherlands,0.46,0.09,0.13,0.95,1,0.04,20,1
52,epiforecasts-tsensemble,inc case,2,NL,Netherlands,0.53,0.04,0.04,0.77,0.85,-0.18,13,1
52,ECDC-norrsken_blue,inc case,3,NL,Netherlands,0.32,0.06,0.05,0.82,1,-0.03,17,1
52,ECDC-norrsken_green,inc case,3,NL,Netherlands,0.58,0.05,0.04,0.35,0.82,0.18,17,1
52,EuroCOVIDhub-baseline,inc case,3,NL,Netherlands,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,3,NL,Netherlands,0.49,0.09,0.13,0.9,1,0.06,20,1
52,epiforecasts-tsensemble,inc case,3,NL,Netherlands,0.6,0.04,0.03,0.69,0.85,-0.23,13,1
52,ECDC-norrsken_blue,inc case,4,NL,Netherlands,0.41,0.07,0.05,0.88,1,0.11,17,1
52,ECDC-norrsken_green,inc case,4,NL,Netherlands,0.62,0.05,0.04,0.29,0.82,0.16,17,1
52,EuroCOVIDhub-baseline,inc case,4,NL,Netherlands,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,4,NL,Netherlands,0.57,0.09,0.14,0.9,1,0.07,20,1
52,epiforecasts-tsensemble,inc case,4,NL,Netherlands,0.71,0.04,0.04,0.54,0.85,-0.3,13,1
52,ECDC-norrsken_blue,inc case,1,NO,Norway,0.88,0.63,0.63,0.67,1,0.12,18,1
52,ECDC-norrsken_green,inc case,1,NO,Norway,1.26,0.84,0.84,0.11,0.61,0.12,18,1
52,EuroCOVIDhub-baseline,inc case,1,NO,Norway,1,1,1,0.76,1,0.1,25,1
52,EuroCOVIDhub-ensemble,inc case,1,NO,Norway,0.93,0.62,0.64,0.55,0.95,0.05,22,1
52,Lydia-SARIMA,inc case,1,NO,Norway,0.8,3.84,3.37,1,1,-0.05,25,1
52,epiforecasts-tsensemble,inc case,1,NO,Norway,0.9,0.64,0.71,0.55,0.8,0.03,20,1
52,ECDC-norrsken_blue,inc case,2,NO,Norway,0.85,0.48,0.46,0.72,0.94,0.07,18,1
52,ECDC-norrsken_green,inc case,2,NO,Norway,1.33,0.66,0.63,0.17,0.67,0.02,18,1
52,EuroCOVIDhub-baseline,inc case,2,NO,Norway,1,1,1,1,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,2,NO,Norway,0.91,0.48,0.52,0.64,0.91,-0.03,22,1
52,Lydia-SARIMA,inc case,2,NO,Norway,0.76,3.03,2.8,1,1,-0.04,25,1
52,epiforecasts-tsensemble,inc case,2,NO,Norway,0.91,0.49,0.55,0.6,0.8,-0.03,20,1
52,ECDC-norrsken_blue,inc case,3,NO,Norway,0.9,0.43,0.4,0.72,0.94,0.11,18,1
52,ECDC-norrsken_green,inc case,3,NO,Norway,1.38,0.57,0.54,0.11,0.67,-0,18,1
52,EuroCOVIDhub-baseline,inc case,3,NO,Norway,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,3,NO,Norway,0.92,0.42,0.46,0.64,0.91,0,22,1
52,Lydia-SARIMA,inc case,3,NO,Norway,0.74,2.66,2.5,1,1,-0.04,25,1
52,epiforecasts-tsensemble,inc case,3,NO,Norway,0.99,0.42,0.47,0.6,0.75,-0.03,20,1
52,ECDC-norrsken_blue,inc case,4,NO,Norway,0.91,0.41,0.37,0.78,0.94,0.14,18,1
52,ECDC-norrsken_green,inc case,4,NO,Norway,1.41,0.54,0.48,0.11,0.61,-0.05,18,1
52,EuroCOVIDhub-baseline,inc case,4,NO,Norway,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,4,NO,Norway,0.92,0.38,0.42,0.59,0.91,0.04,22,1
52,epiforecasts-tsensemble,inc case,4,NO,Norway,1,0.37,0.41,0.5,0.75,-0.06,20,1
52,ECDC-norrsken_blue,inc case,1,PL,Poland,1.4,1.34,1.42,0.61,0.89,0.31,18,1
52,ECDC-norrsken_green,inc case,1,PL,Poland,1.56,1.59,1.68,0.17,0.61,0.51,18,1
52,EuroCOVIDhub-baseline,inc case,1,PL,Poland,1,1,1,0.4,1,0.13,25,1
52,EuroCOVIDhub-ensemble,inc case,1,PL,Poland,0.95,0.79,0.76,0.52,0.96,0.13,25,1
52,Lydia-SARIMA,inc case,1,PL,Poland,1.42,1.97,1.79,1,1,0.02,25,1
52,epiforecasts-tsensemble,inc case,1,PL,Poland,1.08,1,1.02,0.62,0.71,0.07,21,1
52,ECDC-norrsken_blue,inc case,2,PL,Poland,1.43,1.26,1.27,0.61,0.94,0.33,18,1
52,ECDC-norrsken_green,inc case,2,PL,Poland,1.64,1.49,1.51,0.17,0.61,0.41,18,1
52,EuroCOVIDhub-baseline,inc case,2,PL,Poland,1,1,1,0.64,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,2,PL,Poland,0.93,0.69,0.7,0.6,1,0.06,25,1
52,Lydia-SARIMA,inc case,2,PL,Poland,1.26,2.06,1.91,1,1,0.04,25,1
52,epiforecasts-tsensemble,inc case,2,PL,Poland,1.08,0.89,0.92,0.62,0.71,0.06,21,1
52,ECDC-norrsken_blue,inc case,3,PL,Poland,1.51,1.24,1.23,0.67,0.89,0.4,18,1
52,ECDC-norrsken_green,inc case,3,PL,Poland,1.75,1.47,1.45,0.28,0.67,0.36,18,1
52,EuroCOVIDhub-baseline,inc case,3,PL,Poland,1,1,1,0.84,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc case,3,PL,Poland,0.99,0.67,0.7,0.72,0.96,0.06,25,1
52,Lydia-SARIMA,inc case,3,PL,Poland,1.13,2.01,1.91,1,1,0.07,25,1
52,epiforecasts-tsensemble,inc case,3,PL,Poland,1.06,0.81,0.84,0.67,0.81,0.09,21,1
52,ECDC-norrsken_blue,inc case,4,PL,Poland,1.72,1.27,1.21,0.5,0.94,0.49,18,1
52,ECDC-norrsken_green,inc case,4,PL,Poland,2,1.51,1.43,0.33,0.67,0.29,18,1
52,EuroCOVIDhub-baseline,inc case,4,PL,Poland,1,1,1,0.92,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,4,PL,Poland,1.03,0.62,0.66,0.68,1,0.1,25,1
52,epiforecasts-tsensemble,inc case,4,PL,Poland,1.13,0.76,0.79,0.67,0.81,0.12,21,1
52,ECDC-norrsken_blue,inc death,1,PL,Poland,3.16,2.35,2.35,0.39,0.94,0.61,18,1
52,ECDC-norrsken_green,inc death,1,PL,Poland,2.17,1.74,1.74,0.11,0.5,0.76,18,1
52,EuroCOVIDhub-baseline,inc death,1,PL,Poland,1,1,1,0.72,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc death,1,PL,Poland,1.23,0.91,0.89,0.6,1,0.06,25,1
52,epiforecasts-tsensemble,inc death,1,PL,Poland,1.2,0.87,0.88,0.76,0.95,0.02,21,1
52,ECDC-norrsken_blue,inc death,2,PL,Poland,4,2.6,2.39,0.33,0.94,0.72,18,1
52,ECDC-norrsken_green,inc death,2,PL,Poland,2.76,1.95,1.8,0.17,0.39,0.73,18,1
52,EuroCOVIDhub-baseline,inc death,2,PL,Poland,1,1,1,0.88,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc death,2,PL,Poland,1.12,0.81,0.82,0.56,0.96,0.06,25,1
52,epiforecasts-tsensemble,inc death,2,PL,Poland,1.14,0.81,0.95,0.81,0.86,0.04,21,1
52,ECDC-norrsken_blue,inc death,3,PL,Poland,4.92,3.01,2.59,0,0.94,0.79,18,1
52,ECDC-norrsken_green,inc death,3,PL,Poland,3.38,2.31,1.98,0.17,0.5,0.84,18,1
52,EuroCOVIDhub-baseline,inc death,3,PL,Poland,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc death,3,PL,Poland,1.12,0.76,0.78,0.44,0.96,0.17,25,1
52,epiforecasts-tsensemble,inc death,3,PL,Poland,1.01,0.8,1.06,0.76,0.9,0.09,21,1
52,ECDC-norrsken_blue,inc death,4,PL,Poland,5.79,3.33,2.79,0.06,0.94,0.83,18,1
52,ECDC-norrsken_green,inc death,4,PL,Poland,4.6,2.97,2.49,0.11,0.5,0.84,18,1
52,EuroCOVIDhub-baseline,inc death,4,PL,Poland,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc death,4,PL,Poland,1.11,0.74,0.75,0.56,1,0.14,25,1
52,epiforecasts-tsensemble,inc death,4,PL,Poland,1.07,0.79,1.1,0.76,0.9,0.08,21,1
52,ECDC-norrsken_blue,inc case,1,PT,Portugal,0.94,0.21,0.2,0.61,1,0.31,18,1
52,ECDC-norrsken_green,inc case,1,PT,Portugal,0.88,0.19,0.17,0.44,0.72,0.31,18,1
52,EuroCOVIDhub-baseline,inc case,1,PT,Portugal,1,1,1,1,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc case,1,PT,Portugal,0.77,0.16,0.19,0.68,0.91,0.25,22,1
52,epiforecasts-tsensemble,inc case,1,PT,Portugal,1.01,0.2,0.2,0.7,0.9,0.1,20,1
52,ECDC-norrsken_blue,inc case,2,PT,Portugal,1.16,0.19,0.17,0.61,1,0.37,18,1
52,ECDC-norrsken_green,inc case,2,PT,Portugal,0.96,0.15,0.13,0.39,0.72,0.32,18,1
52,EuroCOVIDhub-baseline,inc case,2,PT,Portugal,1,1,1,1,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,2,PT,Portugal,0.83,0.14,0.17,0.64,0.91,0.27,22,1
52,epiforecasts-tsensemble,inc case,2,PT,Portugal,1.07,0.15,0.16,0.65,0.9,0.08,20,1
52,ECDC-norrsken_blue,inc case,3,PT,Portugal,1.34,0.19,0.17,0.67,1,0.37,18,1
52,ECDC-norrsken_green,inc case,3,PT,Portugal,1.04,0.13,0.12,0.39,0.72,0.28,18,1
52,EuroCOVIDhub-baseline,inc case,3,PT,Portugal,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,3,PT,Portugal,0.91,0.13,0.15,0.64,0.95,0.25,22,1
52,epiforecasts-tsensemble,inc case,3,PT,Portugal,1.18,0.14,0.14,0.55,0.8,0.05,20,1
52,ECDC-norrsken_blue,inc case,4,PT,Portugal,1.5,0.19,0.18,0.56,1,0.37,18,1
52,ECDC-norrsken_green,inc case,4,PT,Portugal,1.09,0.12,0.11,0.33,0.67,0.25,18,1
52,EuroCOVIDhub-baseline,inc case,4,PT,Portugal,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,4,PT,Portugal,0.95,0.13,0.15,0.5,0.91,0.25,22,1
52,epiforecasts-tsensemble,inc case,4,PT,Portugal,1.2,0.13,0.13,0.35,0.7,-0,20,1
52,EuroCOVIDhub-baseline,inc death,1,PT,Portugal,1,1,1,0.76,1,0.06,25,1
52,epiforecasts-tsensemble,inc death,1,PT,Portugal,1.13,0.97,0.97,0.4,0.75,0.15,20,1
52,EuroCOVIDhub-baseline,inc death,2,PT,Portugal,1,1,1,0.88,1,0.08,25,1
52,epiforecasts-tsensemble,inc death,2,PT,Portugal,1.11,0.84,0.84,0.45,0.75,0.21,20,1
52,EuroCOVIDhub-baseline,inc death,3,PT,Portugal,1,1,1,1,1,0.09,25,1
52,epiforecasts-tsensemble,inc death,3,PT,Portugal,1.07,0.74,0.74,0.4,0.8,0.17,20,1
52,EuroCOVIDhub-baseline,inc death,4,PT,Portugal,1,1,1,1,1,0.08,25,1
52,epiforecasts-tsensemble,inc death,4,PT,Portugal,1.09,0.65,0.65,0.4,0.8,0.24,20,1
52,ECDC-norrsken_blue,inc case,1,RO,Romania,1.22,0.81,0.74,0.67,0.94,0.36,18,1
52,ECDC-norrsken_green,inc case,1,RO,Romania,1.7,0.84,0.77,0.28,0.61,0.38,18,1
52,EuroCOVIDhub-baseline,inc case,1,RO,Romania,1,1,1,0.92,1,0.2,25,1
52,EuroCOVIDhub-ensemble,inc case,1,RO,Romania,1,0.6,0.69,0.61,0.91,0.28,23,1
52,Lydia-SARIMA,inc case,1,RO,Romania,6.49,4.1,3.57,0.92,1,0.22,25,1
52,epiforecasts-tsensemble,inc case,1,RO,Romania,1.11,0.61,0.72,0.57,0.9,0.23,21,1
52,ECDC-norrsken_blue,inc case,2,RO,Romania,1.26,0.65,0.58,0.72,0.94,0.33,18,1
52,ECDC-norrsken_green,inc case,2,RO,Romania,1.63,0.65,0.57,0.33,0.61,0.41,18,1
