weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,epiforecasts-tsensemble,inc hosp,1,Overall,NA,1.12,0.97,0.98,0.67,0.95,0.07,21,1
52,ECDC-norrsken_green,inc hosp,2,Overall,NA,1.27,1.17,1.12,0.24,0.59,0.74,17,1
52,EuroCOVIDhub-baseline,inc hosp,2,Overall,NA,1,1,1,0.76,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc hosp,2,Overall,NA,1.03,0.87,0.89,0.68,1,0.16,22,1
52,epiforecasts-tsensemble,inc hosp,2,Overall,NA,1.1,1,1.02,0.62,0.9,0.07,21,1
52,ECDC-norrsken_green,inc hosp,3,Overall,NA,1.26,1.14,1.11,0.29,0.53,0.72,17,1
52,EuroCOVIDhub-baseline,inc hosp,3,Overall,NA,1,1,1,0.76,1,0.08,25,1
52,EuroCOVIDhub-ensemble,inc hosp,3,Overall,NA,1.07,0.88,0.89,0.73,1,0.19,22,1
52,epiforecasts-tsensemble,inc hosp,3,Overall,NA,1.16,1.03,1.05,0.67,0.86,0.09,21,1
52,ECDC-norrsken_green,inc hosp,4,Overall,NA,1.27,1.14,1.1,0.29,0.47,0.68,17,1
52,EuroCOVIDhub-baseline,inc hosp,4,Overall,NA,1,1,1,0.64,1,0.08,25,1
52,EuroCOVIDhub-ensemble,inc hosp,4,Overall,NA,1.06,0.87,0.88,0.68,1,0.18,22,1
52,epiforecasts-tsensemble,inc hosp,4,Overall,NA,1.15,1.02,1.04,0.62,0.81,0.09,21,1
52,ECDC-norrsken_blue,inc case,1,BE,Belgium,1.31,0.7,0.68,0.41,1,0.13,17,1
52,ECDC-norrsken_green,inc case,1,BE,Belgium,1.27,0.67,0.66,0.18,0.71,0.32,17,1
52,EuroCOVIDhub-baseline,inc case,1,BE,Belgium,1,1,1,0.96,1,0.2,25,1
52,EuroCOVIDhub-ensemble,inc case,1,BE,Belgium,0.99,0.55,0.57,0.67,1,0.3,21,1
52,epiforecasts-tsensemble,inc case,1,BE,Belgium,1.02,0.48,0.49,0.55,0.95,0.3,20,1
52,ECDC-norrsken_blue,inc case,2,BE,Belgium,1.35,0.56,0.53,0.47,1,0.09,17,1
52,ECDC-norrsken_green,inc case,2,BE,Belgium,1.29,0.51,0.49,0.12,0.59,0.24,17,1
52,EuroCOVIDhub-baseline,inc case,2,BE,Belgium,1,1,1,1,1,0.11,25,1
52,EuroCOVIDhub-ensemble,inc case,2,BE,Belgium,1.01,0.46,0.48,0.71,1,0.26,21,1
52,epiforecasts-tsensemble,inc case,2,BE,Belgium,1.02,0.36,0.39,0.55,0.95,0.24,20,1
52,ECDC-norrsken_blue,inc case,3,BE,Belgium,1.4,0.5,0.47,0.59,1,0.11,17,1
52,ECDC-norrsken_green,inc case,3,BE,Belgium,1.34,0.44,0.42,0.18,0.59,0.19,17,1
52,EuroCOVIDhub-baseline,inc case,3,BE,Belgium,1,1,1,1,1,0.08,25,1
52,EuroCOVIDhub-ensemble,inc case,3,BE,Belgium,1.04,0.41,0.44,0.67,1,0.24,21,1
52,epiforecasts-tsensemble,inc case,3,BE,Belgium,1.03,0.3,0.32,0.5,0.9,0.19,20,1
52,ECDC-norrsken_blue,inc case,4,BE,Belgium,1.48,0.47,0.43,0.65,1,0.15,17,1
52,ECDC-norrsken_green,inc case,4,BE,Belgium,1.4,0.41,0.38,0.18,0.53,0.19,17,1
52,EuroCOVIDhub-baseline,inc case,4,BE,Belgium,1,1,1,1,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc case,4,BE,Belgium,1.06,0.37,0.41,0.67,1,0.22,21,1
52,epiforecasts-tsensemble,inc case,4,BE,Belgium,1.02,0.26,0.27,0.55,0.9,0.12,20,1
52,ECDC-norrsken_blue,inc case,1,BG,Bulgaria,1.54,1.09,1,0.47,1,0.31,17,1
52,ECDC-norrsken_green,inc case,1,BG,Bulgaria,1.44,1.05,0.96,0.29,0.59,0.38,17,1
52,EuroCOVIDhub-baseline,inc case,1,BG,Bulgaria,1,1,1,0.71,1,0.31,24,1
52,EuroCOVIDhub-ensemble,inc case,1,BG,Bulgaria,1,0.69,0.75,0.48,1,0.44,21,1
52,epiforecasts-tsensemble,inc case,1,BG,Bulgaria,1.14,0.74,0.77,0.55,0.85,0.51,20,1
52,fjordhest-ensemble,inc case,1,BG,Bulgaria,0.92,0.56,0.6,0.35,0.91,0.51,23,1
52,ECDC-norrsken_blue,inc case,2,BG,Bulgaria,1.51,0.84,0.78,0.47,1,0.35,17,1
52,ECDC-norrsken_green,inc case,2,BG,Bulgaria,1.33,0.75,0.69,0.18,0.71,0.42,17,1
52,EuroCOVIDhub-baseline,inc case,2,BG,Bulgaria,1,1,1,1,1,0.2,24,1
52,EuroCOVIDhub-ensemble,inc case,2,BG,Bulgaria,0.97,0.56,0.64,0.62,0.9,0.39,21,1
52,epiforecasts-tsensemble,inc case,2,BG,Bulgaria,1.08,0.57,0.59,0.6,0.85,0.46,20,1
52,ECDC-norrsken_blue,inc case,3,BG,Bulgaria,1.61,0.82,0.76,0.41,1,0.51,17,1
52,ECDC-norrsken_green,inc case,3,BG,Bulgaria,1.16,0.61,0.58,0.18,0.65,0.54,17,1
52,EuroCOVIDhub-baseline,inc case,3,BG,Bulgaria,1,1,1,1,1,0.18,24,1
52,EuroCOVIDhub-ensemble,inc case,3,BG,Bulgaria,0.97,0.53,0.59,0.67,0.86,0.47,21,1
52,epiforecasts-tsensemble,inc case,3,BG,Bulgaria,1.15,0.53,0.54,0.6,0.8,0.5,20,1
52,ECDC-norrsken_blue,inc case,4,BG,Bulgaria,1.66,0.81,0.76,0.41,0.94,0.55,17,1
52,ECDC-norrsken_green,inc case,4,BG,Bulgaria,1.15,0.57,0.54,0.18,0.65,0.53,17,1
52,EuroCOVIDhub-baseline,inc case,4,BG,Bulgaria,1,1,1,1,1,0.15,24,1
52,EuroCOVIDhub-ensemble,inc case,4,BG,Bulgaria,0.93,0.5,0.56,0.57,0.86,0.46,21,1
52,epiforecasts-tsensemble,inc case,4,BG,Bulgaria,1.15,0.5,0.49,0.6,0.85,0.47,20,1
52,ECDC-norrsken_blue,inc death,1,BG,Bulgaria,3.34,2.03,1.86,0.35,0.82,0.59,17,1
52,ECDC-norrsken_green,inc death,1,BG,Bulgaria,2.33,1.51,1.38,0.24,0.47,0.66,17,1
52,EuroCOVIDhub-baseline,inc death,1,BG,Bulgaria,1,1,1,0.92,1,0.09,24,1
52,EuroCOVIDhub-ensemble,inc death,1,BG,Bulgaria,1.14,0.71,0.73,0.62,1,0.22,21,1
52,epiforecasts-tsensemble,inc death,1,BG,Bulgaria,1.05,0.55,0.58,0.55,1,0.18,20,1
52,fjordhest-ensemble,inc death,1,BG,Bulgaria,1.03,0.48,0.53,0.65,1,0.25,23,1
52,ECDC-norrsken_blue,inc death,2,BG,Bulgaria,4.08,1.66,1.55,0.29,0.88,0.62,17,1
52,ECDC-norrsken_green,inc death,2,BG,Bulgaria,3.14,1.39,1.28,0.24,0.41,0.7,17,1
52,EuroCOVIDhub-baseline,inc death,2,BG,Bulgaria,1,1,1,1,1,0.09,24,1
52,EuroCOVIDhub-ensemble,inc death,2,BG,Bulgaria,1.32,0.66,0.7,0.62,1,0.3,21,1
52,epiforecasts-tsensemble,inc death,2,BG,Bulgaria,1.05,0.39,0.42,0.4,1,0.29,20,1
52,ECDC-norrsken_blue,inc death,3,BG,Bulgaria,5.72,1.72,1.61,0.24,0.76,0.7,17,1
52,ECDC-norrsken_green,inc death,3,BG,Bulgaria,5.08,1.71,1.58,0.29,0.41,0.74,17,1
52,EuroCOVIDhub-baseline,inc death,3,BG,Bulgaria,1,1,1,1,1,0.08,24,1
52,EuroCOVIDhub-ensemble,inc death,3,BG,Bulgaria,1.4,0.66,0.71,0.57,1,0.36,21,1
52,epiforecasts-tsensemble,inc death,3,BG,Bulgaria,1.05,0.3,0.32,0.55,1,0.37,20,1
52,ECDC-norrsken_blue,inc death,4,BG,Bulgaria,6.55,1.69,1.6,0.18,0.82,0.73,17,1
52,ECDC-norrsken_green,inc death,4,BG,Bulgaria,7.43,2.29,2.16,0.24,0.35,0.78,17,1
52,EuroCOVIDhub-baseline,inc death,4,BG,Bulgaria,1,1,1,1,1,0.07,24,1
52,EuroCOVIDhub-ensemble,inc death,4,BG,Bulgaria,1.52,0.67,0.72,0.57,1,0.35,21,1
52,epiforecasts-tsensemble,inc death,4,BG,Bulgaria,1.02,0.24,0.25,0.7,1,0.35,20,1
52,ECDC-norrsken_blue,inc case,1,CZ,Czechia,1.33,0.88,0.85,0.67,0.89,0.36,18,1
52,ECDC-norrsken_green,inc case,1,CZ,Czechia,1.22,0.91,0.89,0.33,0.56,0.34,18,1
52,EuroCOVIDhub-baseline,inc case,1,CZ,Czechia,1,1,1,0.6,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,1,CZ,Czechia,1.16,0.75,0.79,0.7,0.87,0.16,23,1
52,ECDC-norrsken_blue,inc case,2,CZ,Czechia,1.42,0.89,0.87,0.61,0.89,0.38,18,1
52,ECDC-norrsken_green,inc case,2,CZ,Czechia,1.32,0.94,0.91,0.33,0.56,0.28,18,1
52,EuroCOVIDhub-baseline,inc case,2,CZ,Czechia,1,1,1,0.72,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,2,CZ,Czechia,1.18,0.72,0.76,0.7,0.87,0.13,23,1
52,ECDC-norrsken_blue,inc case,3,CZ,Czechia,1.53,0.92,0.9,0.5,0.89,0.43,18,1
52,ECDC-norrsken_green,inc case,3,CZ,Czechia,1.44,0.95,0.94,0.28,0.56,0.22,18,1
52,EuroCOVIDhub-baseline,inc case,3,CZ,Czechia,1,1,1,0.8,1,0.05,25,1
52,EuroCOVIDhub-ensemble,inc case,3,CZ,Czechia,1.24,0.69,0.71,0.74,0.91,0.18,23,1
52,ECDC-norrsken_blue,inc case,4,CZ,Czechia,1.67,0.96,0.96,0.39,0.89,0.51,18,1
52,ECDC-norrsken_green,inc case,4,CZ,Czechia,1.55,0.98,0.97,0.22,0.56,0.17,18,1
52,EuroCOVIDhub-baseline,inc case,4,CZ,Czechia,1,1,1,0.88,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc case,4,CZ,Czechia,1.27,0.69,0.71,0.74,0.91,0.21,23,1
52,ECDC-norrsken_green,inc hosp,1,CZ,Czechia,1.35,1.2,1.18,0.24,0.53,0.76,17,1
52,EuroCOVIDhub-baseline,inc hosp,1,CZ,Czechia,1,1,1,0.76,1,0.07,25,1
52,EuroCOVIDhub-ensemble,inc hosp,1,CZ,Czechia,1.04,0.87,0.88,0.73,1,0.14,22,1
52,epiforecasts-tsensemble,inc hosp,1,CZ,Czechia,1.12,0.97,0.98,0.67,0.95,0.07,21,1
52,ECDC-norrsken_green,inc hosp,2,CZ,Czechia,1.27,1.17,1.12,0.24,0.59,0.74,17,1
52,EuroCOVIDhub-baseline,inc hosp,2,CZ,Czechia,1,1,1,0.76,1,0.06,25,1
52,EuroCOVIDhub-ensemble,inc hosp,2,CZ,Czechia,1.03,0.87,0.89,0.68,1,0.16,22,1
52,epiforecasts-tsensemble,inc hosp,2,CZ,Czechia,1.1,1,1.02,0.62,0.9,0.07,21,1
52,ECDC-norrsken_green,inc hosp,3,CZ,Czechia,1.26,1.14,1.11,0.29,0.53,0.72,17,1
52,EuroCOVIDhub-baseline,inc hosp,3,CZ,Czechia,1,1,1,0.76,1,0.08,25,1
52,EuroCOVIDhub-ensemble,inc hosp,3,CZ,Czechia,1.07,0.88,0.89,0.73,1,0.19,22,1
52,epiforecasts-tsensemble,inc hosp,3,CZ,Czechia,1.16,1.03,1.05,0.67,0.86,0.09,21,1
52,ECDC-norrsken_green,inc hosp,4,CZ,Czechia,1.27,1.14,1.1,0.29,0.47,0.68,17,1
52,EuroCOVIDhub-baseline,inc hosp,4,CZ,Czechia,1,1,1,0.64,1,0.08,25,1
52,EuroCOVIDhub-ensemble,inc hosp,4,CZ,Czechia,1.06,0.87,0.88,0.68,1,0.18,22,1
52,epiforecasts-tsensemble,inc hosp,4,CZ,Czechia,1.15,1.02,1.04,0.62,0.81,0.09,21,1
52,ECDC-norrsken_blue,inc case,1,GR,Greece,0.98,0.89,0.92,0.72,0.94,0.37,18,1
52,ECDC-norrsken_green,inc case,1,GR,Greece,1.26,1.3,1.33,0.33,0.56,0.14,18,1
52,EuroCOVIDhub-baseline,inc case,1,GR,Greece,1,1,1,0.48,1,0.16,25,1
52,EuroCOVIDhub-ensemble,inc case,1,GR,Greece,0.95,0.95,0.95,0.61,0.87,0.17,23,1
52,Lydia-SARIMA,inc case,1,GR,Greece,1.23,1.97,1.94,1,1,0.08,25,1
52,epiforecasts-tsensemble,inc case,1,GR,Greece,1.05,1.03,0.99,0.57,0.86,0.07,21,1
52,ECDC-norrsken_blue,inc case,2,GR,Greece,1.15,1.06,1.09,0.72,0.89,0.41,18,1
